Year,raise-index,union-raise-index,inflation-index,case-shiller-SF,case-shiller-comp-20,bls-transport-wage
2000,100,,103.4,101.45,100.59,100
2001,106,,106.3,133.04,113.05,103.5842294
2002,112.36,,108,126.84,121.36,108.6021505
2003,119.1016,,110.48,143.73,136.47,112.3058542
2004,126.247696,,113.46,157.84,152.62,115.2927121
2005,128.4570307,,117.32,191.6,177.54,117.8016726
2006,130.7050287,,121.07,217.36,203.75,119.9522103
2007,132.9923667,,124.46,214.56,203.69,122.8195938
2008,135.3197331,,129.19,186.53,182.03,126.1648746
2009,135.3197331,,129.14,126.49,147.54,128.3154122
2010,135.3197331,,131.21,138.13,146.62,130.2270012
2011,135.3197331,,135.41,136.01,142.14,134.4086022
2012,135.3197331,,138.25,128.03,136.59,138.2317802
2013,135.3197331,135.3197331,140.42,147.45,146.14,142.7718041
2014,138.0261278,145.0176473,143.93,,,
2015,140.7866504,155.4105787,147.53,,,
2016,143.6023834,166.5483369,151.21,,,
2017,146.474431,,154.99,,,
