Two-Letter Station Code,Station Name
RM,Richmond
EN,El Cerrito Del Norte
EP,El Cerrito Plaza
NB,North Berkeley
BK,Berkeley
AS,Ashby
MA,MacArthur
19,19th Street Oakland
12,12th Street / Oakland City Center
LM,Lake Merritt
FV,Fruitvale
CL,Coliseum / Oakland Airport
SL,San,Leandro
BF,Bayfair
HY,Hayward
SH,South Hayward
UC,Union City
FM,Fremont
CN,Concord
PH,Pleasant Hill
WC,Walnut Creek
LF,Lafayette
OR,Orinda
RR,Rockridge
OW,West Oakland
EM,Embarcadero
MT,Montgomery Street
PL,Powell Street
CC,Civic Center
16,16th Street Mission
24,24th Street Mission
GP,Glen Park
BP,Balboa Park
DC,Daly City
CM,Colma
CV,Castro Valley
ED,Dublin / Pleasanton
NC,North Concord / Martinez
WP,Pittsburg / Baypoint
SS,South San Francisco
SB,San Bruno
MB,Millbrae
SO,San Francisco International Airport
WD,West Dublin / Pleasanton
