City,1960,1970,1980,1990,2000,2010,2010,Rank
San Jose,204196,445779,629400,782248,894943,945942,1
San Francisco,740316,715674,678974,723959,776733,805235,2
Oakland,367548,361561,339337,372242,399484,390724,3
Fremont,43790,100869,131945,173339,203413,214089,4
Santa Rosa,31027,50006,82658,113313,147595,167815,5
Hayward,72700,93058,93585,111498,140030,144186,6
Sunnyvale,52898,95408,106618,117229,131760,140081,7
Concord,36000,85164,103763,111348,121780,122067,8
Santa Clara,58880,87717,87746,93613,102361,116468,9
Vallejo,60877,66733,80303,109199,116760,115942,10
